#time table for synology scheduler
time,schedule_name,py_name,path,notes
00:30,git hub auto pull,,,synchronizing codes with my github repository
00:55,target,target.py,/volume2/ds_project/coordinates,refreshing whitelist for target coordinates
01:00,price,price.py,/volume2/ds_project/national_avg,collecting daily average price of each fuels
01:30,gasoline,gasoline.py,/volume2/ds_project/station_price,collect daily gasoline price by stations in Korea.
01:45,diesel,diesel.py,/volume2/ds_project/station_price,collect daily diesel price by stations in Korea.
02:00,premium_gasoline,premium_gasoline.py,/volume2/ds_project/station_price,collect daily premium gasoline price by stations in Korea.
02:15,lpg,lpg.py,/volume2/ds_project/station_price,collect daily lpg price by stations in Korea.
05:00,send_log_gasoline,send_station_log.py,/volume2/ds_project/telegram_chatbot,send collect log of gasoline to telegram
05:05,send_log_diesel,send_station_log.py,/volume2/ds_project/telegram_chatbot,send collect log of diesel to telegram
05:10,send_log_premium_gasoline,send_station_log.py,/volume2/ds_project/telegram_chatbot,send collect log of premium gasoline to telegram
05:15,send_log_lpg,send_station_log.py,/volume2/ds_project/telegram_chatbot,send collect log of lpg to telegram
06:00,agg,agg.py,/volume2/ds_project/station_price,creation of daily mart table aggregated by station.
